id;pais;region;departamento;municipio;subregion;codigo_dane;latitud;longitud;año;mes;trimestre;semestre;fecha;tipo_recaudo;categoria;subcategoria;sector;codigo_sector;entidad;codigo_entidad;fuente;codigo_fuente;subfuente;rubro;subrubro;programa;subprograma;proyecto;valor_recaudo;presupuesto_inicial;presupuesto_modificado;meta_recaudo;recaudo_acumulado;ejecucion_%;variacion_anual_%;variacion_mensual_%;estado;nivel;zona;gasto_programa;gasto_subprograma;gasto_proyecto;gasto_proyecto.1;impuesto_territorial_nivel;impuesto_territorial_grupo;impuesto_territorial
1;Colombia;Andina;Antioquia;Medellín;Subreg-3;5001;6.246.631;-75.581.775;2022;10;4;2;18/10/2022;Impuesto;Tributario;Subcat-4;Infraestructura;672;Entidad Nacional;2451;General;31;Sub-3;Rubro-5;Subrubro-4;Programa-3;Subprograma-4;Proyecto-3;9481083.72;7868783.36;9002508.3;8314215.56;34344027.59;113.78;-8.16;-0.34;Comprometido;Territorial;Urbana;Programa-3;Subprograma-4;Proyecto-3;Proyecto-3;Departamental;Transporte y combustibles;Sobretasa a la Gasolina Departamental
2;Colombia;Andina;Antioquia;Abejorral;Subreg-5;5002;5.789.315;-75.428.739;2024;5;2;1;5/05/2024;Contribución;No Tributario;Subcat-2;Salud;331;Gobernación;1772;General;41;Sub-4;Rubro-4;Subrubro-4;Programa-3;Subprograma-5;Proyecto-3;5419951.41;6150920.96;7307088.44;7386396.29;9063820.47;76.36;12.83;2.74;Comprometido;Territorial;Urbana;Programa-3;Subprograma-5;Proyecto-3;Proyecto-3;No aplica;No tributario;No aplica - ingreso no tributario
3;Colombia;Andina;Antioquia;Abriaquí;Subreg-2;5004;6.632.282;-76.064.304;2022;10;4;2;19/10/2022;Tasa;Tributario;Subcat-5;Infraestructura;258;Gobernación;7887;General;53;Sub-3;Rubro-3;Subrubro-3;Programa-4;Subprograma-5;Proyecto-4;8202116.34;8765584.2;10629080.71;11634547.89;13273240.19;74.73;-7.37;3.61;Programado;Territorial;Rural;Programa-4;Subprograma-5;Proyecto-4;Proyecto-4;Municipal;Propiedad;Impuesto Predial Unificado
4;Colombia;Andina;Antioquia;Alejandría;Subreg-5;5021;6.376.061;-75.141.346;2025;9;3;2;10/09/2025;Impuesto;No Tributario;Subcat-1;Salud;163;Entidad Nacional;2706;General;25;Sub-4;Rubro-5;Subrubro-2;Programa-3;Subprograma-3;Proyecto-5;2464779.34;3606602.87;3713577.94;3778153.17;6862939.73;74.47;-5.19;3.39;Recaudado;Territorial;Rural;Programa-3;Subprograma-3;Proyecto-5;Proyecto-5;Departamental;Registro;Registro y Anotación
5;Colombia;Andina;Antioquia;Amagá;Subreg-5;5030;6.038.708;-75.702.188;2025;6;2;1;5/06/2025;Tasa;Tributario;Subcat-3;Salud;418;Gobernación;1363;General;86;Sub-2;Rubro-2;Subrubro-3;Programa-3;Subprograma-3;Proyecto-7;7207199.18;6602120.82;6663707.54;7383820.77;16421501.58;105.24;8.47;-5.62;Recaudado;Territorial;Urbana;Programa-3;Subprograma-3;Proyecto-7;Proyecto-7;Departamental;Transporte y combustibles;Sobretasa a la Gasolina Departamental
6;Colombia;Andina;Antioquia;Amalfi;Subreg-1;5031;6.909.655;-75.077.501;2025;3;1;1;22/03/2025;Tasa;No Tributario;Subcat-2;Educación;906;Gobernación;7968;General;58;Sub-5;Rubro-4;Subrubro-3;Programa-1;Subprograma-3;Proyecto-2;8714232.97;7295395.02;8263477.89;8893909.73;26452936.31;104.04;-7.81;-6.05;Obligado;Territorial;Urbana;Programa-1;Subprograma-3;Proyecto-2;Proyecto-2;No aplica;No tributario;No aplica - ingreso no tributario
7;Colombia;Andina;Antioquia;Andes;Subreg-3;5034;5.657.194;-75.878.828;2023;9;3;2;18/09/2023;Contribución;No Tributario;Subcat-5;Educación;350;Alcaldía;4085;General;75;Sub-5;Rubro-3;Subrubro-1;Programa-3;Subprograma-5;Proyecto-9;6085364.6;5521888.85;6448183.5;6826560.2;14122094.25;92.68;-11.08;-0.58;Obligado;Territorial;Rural;Programa-3;Subprograma-5;Proyecto-9;Proyecto-9;No aplica;No tributario;No aplica - ingreso no tributario
8;Colombia;Andina;Antioquia;Angelópolis;Subreg-3;5036;6.109.719;-75.711.389;2025;3;1;1;8/03/2025;Contribución;No Tributario;Subcat-1;Salud;854;Gobernación;5959;General;86;Sub-1;Rubro-5;Subrubro-5;Programa-5;Subprograma-2;Proyecto-6;5050357.75;7827224.59;7685386.04;7028867.21;16601407.67;79.07;4.71;5.33;Recaudado;Territorial;Rural;Programa-5;Subprograma-2;Proyecto-6;Proyecto-6;No aplica;No tributario;No aplica - ingreso no tributario
9;Colombia;Andina;Antioquia;Angostura;Subreg-3;5038;6.885.175;-75.335.116;2025;8;3;2;12/08/2025;Contribución;No Tributario;Subcat-2;Infraestructura;300;Entidad Nacional;9272;General;10;Sub-4;Rubro-4;Subrubro-1;Programa-4;Subprograma-1;Proyecto-5;4507090.33;7512163.08;7199961.5;6520846.86;12381285.98;69.5;-7.16;0.52;Programado;Territorial;Rural;Programa-4;Subprograma-1;Proyecto-5;Proyecto-5;No aplica;No tributario;No aplica - ingreso no tributario
10;Colombia;Andina;Antioquia;Anorí;Subreg-4;5040;7.074.703;-75.148.355;2025;2;1;1;14/02/2025;Impuesto;No Tributario;Subcat-1;Educación;488;Alcaldía;1363;General;36;Sub-4;Rubro-1;Subrubro-2;Programa-3;Subprograma-1;Proyecto-3;4099784.4;4569250.2;4721668.64;4605411.82;7119910.18;96.51;-8.46;8.35;Comprometido;Territorial;Urbana;Programa-3;Subprograma-1;Proyecto-3;Proyecto-3;Departamental;Consumo;Cigarrillos y Tabaco
11;Colombia;Andina;Antioquia;Santa Fé De Antioquia;Subreg-4;5042;6.556.484;-75.826.648;2023;11;4;2;14/11/2023;Contribución;Tributario;Subcat-2;Infraestructura;993;Alcaldía;1499;General;91;Sub-2;Rubro-5;Subrubro-4;Programa-4;Subprograma-4;Proyecto-5;4020491.57;3126959.69;3874965.14;4241876.77;8986008.6;100.84;-9.11;7.34;Comprometido;Territorial;Rural;Programa-4;Subprograma-4;Proyecto-5;Proyecto-5;Departamental;Consumo;Consumo de Licores
12;Colombia;Andina;Antioquia;Anzá;Subreg-2;5044;6.302.641;-75.854.442;2022;6;2;1;20/06/2022;Contribución;No Tributario;Subcat-2;Salud;666;Entidad Nacional;2972;General;58;Sub-4;Rubro-3;Subrubro-1;Programa-1;Subprograma-5;Proyecto-8;3877342.91;3447652.99;3801819.52;3589652.12;13347946.77;107.83;0.96;2.66;Programado;Territorial;Urbana;Programa-1;Subprograma-5;Proyecto-8;Proyecto-8;No aplica;No tributario;No aplica - ingreso no tributario
13;Colombia;Andina;Antioquia;Apartadó;Subreg-4;5045;7.882.968;-76.625.279;2022;8;3;2;3/08/2022;Impuesto;Tributario;Subcat-5;Infraestructura;572;Gobernación;6592;General;53;Sub-4;Rubro-2;Subrubro-5;Programa-5;Subprograma-5;Proyecto-4;1310396.2;1675554.57;1751846.91;1594887.63;2476930.96;89.7;-8.9;1.99;Recaudado;Territorial;Urbana;Programa-5;Subprograma-5;Proyecto-4;Proyecto-4;Departamental;Consumo;Cigarrillos y Tabaco
14;Colombia;Andina;Antioquia;Arboletes;Subreg-5;5051;8.849.317;-76.426.708;2025;3;1;1;9/03/2025;Tasa;No Tributario;Subcat-3;Seguridad;574;Gobernación;8886;General;46;Sub-2;Rubro-2;Subrubro-4;Programa-1;Subprograma-2;Proyecto-10;4164779.46;5648489.12;5769391.82;6044758.39;11670625.31;66.14;11.48;-6.59;Recaudado;Territorial;Urbana;Programa-1;Subprograma-2;Proyecto-10;Proyecto-10;No aplica;No tributario;No aplica - ingreso no tributario
15;Colombia;Andina;Antioquia;Argelia;Subreg-3;5055;5.731.474;-7.514.107;2023;6;2;1;19/06/2023;Contribución;Tributario;Subcat-3;Salud;208;Entidad Nacional;2403;General;87;Sub-1;Rubro-2;Subrubro-4;Programa-5;Subprograma-2;Proyecto-6;6838636.06;8502611.64;9353764.03;9525614.66;19871814.57;78.35;1.17;-7.63;Comprometido;Territorial;Urbana;Programa-5;Subprograma-2;Proyecto-6;Proyecto-6;Municipal;Urbanismo y construcción;Delineación Urbana
16;Colombia;Andina;Antioquia;Armenia;Subreg-5;5059;6.155.667;-75.786.647;2023;10;4;2;1/10/2023;Contribución;No Tributario;Subcat-3;Seguridad;743;Alcaldía;3897;General;71;Sub-3;Rubro-2;Subrubro-4;Programa-4;Subprograma-4;Proyecto-10;1923312.91;2121992.71;2321274.67;2152155.73;6309314.75;98.61;9.81;5.07;Programado;Territorial;Urbana;Programa-4;Subprograma-4;Proyecto-10;Proyecto-10;No aplica;No tributario;No aplica - ingreso no tributario
17;Colombia;Andina;Antioquia;Barbosa;Subreg-5;5079;6.439.195;-75.331.627;2023;2;1;1;17/02/2023;Tasa;Tributario;Subcat-2;Seguridad;435;Alcaldía;4257;General;37;Sub-2;Rubro-5;Subrubro-3;Programa-4;Subprograma-3;Proyecto-2;2287669.76;2841711.93;2594751.23;2695202.14;8423838.24;83.55;-2.49;8.2;Recaudado;Territorial;Urbana;Programa-4;Subprograma-3;Proyecto-2;Proyecto-2;Municipal;Propiedad;Impuesto Predial Unificado
18;Colombia;Andina;Antioquia;Belmira;Subreg-3;5086;6.606.319;-75.667.779;2024;4;2;1;17/04/2024;Impuesto;No Tributario;Subcat-3;Infraestructura;502;Gobernación;9098;General;64;Sub-3;Rubro-4;Subrubro-1;Programa-4;Subprograma-1;Proyecto-2;2218754.27;3047720.72;3741428.44;3521252.69;9273092.72;67.25;14.75;4.73;Recaudado;Territorial;Urbana;Programa-4;Subprograma-1;Proyecto-2;Proyecto-2;Municipal;Actividad económica;Avisos y Tableros
19;Colombia;Andina;Antioquia;Bello;Subreg-5;5088;6.333.587;-75.555.245;2025;11;4;2;7/11/2025;Tasa;No Tributario;Subcat-1;Salud;966;Alcaldía;3558;General;41;Sub-4;Rubro-3;Subrubro-1;Programa-1;Subprograma-2;Proyecto-2;5160360.47;5150866.88;5205338.17;5689450.79;9056742.26;98.08;10.4;-3.54;Programado;Territorial;Urbana;Programa-1;Subprograma-2;Proyecto-2;Proyecto-2;No aplica;No tributario;No aplica - ingreso no tributario
20;Colombia;Andina;Antioquia;Betania;Subreg-2;5091;574.615;-7.597.679;2022;12;4;2;26/12/2022;Contribución;Tributario;Subcat-5;Salud;985;Gobernación;4073;General;13;Sub-5;Rubro-2;Subrubro-5;Programa-5;Subprograma-1;Proyecto-4;1588817.05;1982063.46;2360418.43;2214830.37;6134927.08;73.96;-6.11;-2.72;Recaudado;Territorial;Urbana;Programa-5;Subprograma-1;Proyecto-4;Proyecto-4;Municipal;Servicios urbanos;Alumbrado Público
21;Colombia;Andina;Antioquia;Betulia;Subreg-5;5093;6.115.208;-75.984.452;2025;10;4;2;9/10/2025;Impuesto;No Tributario;Subcat-5;Educación;971;Gobernación;9117;General;59;Sub-5;Rubro-2;Subrubro-1;Programa-4;Subprograma-2;Proyecto-3;2881003.59;5005929.49;4757455.8;4298285.54;9592815.47;76.48;-8.35;0.61;Comprometido;Territorial;Rural;Programa-4;Subprograma-2;Proyecto-3;Proyecto-3;Departamental;Vehículos;Impuesto sobre Vehículos Automotores
22;Colombia;Andina;Antioquia;Ciudad Bolívar;Subreg-3;5101;5.850.273;-76.021.509;2025;9;3;2;21/09/2025;Impuesto;No Tributario;Subcat-2;Educación;854;Gobernación;3261;General;69;Sub-2;Rubro-5;Subrubro-1;Programa-3;Subprograma-1;Proyecto-1;2958291.86;2598205.21;3069632.88;3311678.9;5425907.44;101.95;15.83;-1.24;Comprometido;Territorial;Urbana;Programa-3;Subprograma-1;Proyecto-1;Proyecto-1;Departamental;Registro;Registro y Anotación
23;Colombia;Andina;Antioquia;Briceño;Subreg-3;5107;7.112.803;-7.555.036;2025;4;2;1;4/04/2025;Tasa;Tributario;Subcat-4;Educación;745;Gobernación;7006;General;50;Sub-4;Rubro-5;Subrubro-3;Programa-1;Subprograma-4;Proyecto-9;7189991.63;6302913.7;7780746.15;7559862.88;21563034.48;111.24;7.02;-6.2;Programado;Territorial;Rural;Programa-1;Subprograma-4;Proyecto-9;Proyecto-9;Municipal;Urbanismo y construcción;Delineación Urbana
24;Colombia;Andina;Antioquia;Buriticá;Subreg-3;5113;6.720.759;-75.907;2024;2;1;1;21/02/2024;Contribución;Tributario;Subcat-2;Educación;980;Alcaldía;8111;General;91;Sub-5;Rubro-4;Subrubro-3;Programa-4;Subprograma-5;Proyecto-9;10887719.97;8729855.3;9678047.6;10967703.63;39401148.58;105.22;-11.46;-6.14;Programado;Territorial;Rural;Programa-4;Subprograma-5;Proyecto-9;Proyecto-9;Departamental;Estampillas;Estampillas Departamentales
25;Colombia;Andina;Antioquia;Cáceres;Subreg-4;5120;7.578.366;-7.535.205;2023;10;4;2;7/10/2023;Impuesto;Tributario;Subcat-2;Educación;383;Entidad Nacional;1005;General;62;Sub-1;Rubro-3;Subrubro-1;Programa-1;Subprograma-4;Proyecto-3;3436468.19;2861125.94;3106522.87;3266521.08;8982732.78;108.39;-0.77;-0.76;Comprometido;Territorial;Rural;Programa-1;Subprograma-4;Proyecto-3;Proyecto-3;Departamental;Registro;Registro y Anotación
